|||Columns||||||||||||
Rows|||Turkey||||||||||||
|||||||||||||||
|||01-January|02-February|03-March|04-April|05-May|06-June|07-July|08-August|09-September|10-October|11-November|12-December|
||2021|566.53|574.65|589.09|616.64|630.41|669.06|698.29|716.74|735.41|762.78|832.49|990.06|
||2022|1102.5|1161.97|1216.25|1282.31|1320.39|1363.7|1384.45|1400.12|1424.56|1444.05|1461.67|1476.77|
||2023|1516.42|1537.71|1561.11|1583.73|1614.49|1666.59|1829.26|1945.74|2002.54|2059.57|2095.5|2155.2|
||2024|2255.75|2336.2|2414.72|2485.91|2552.95|2582.05|2669.5|2726.16|2775.58|2805.25|2844.61|2890.91|
||2025|3022.77|3121.82|3162.02|3270.09|3345.0|3392.15|3472.21|3543.78|3610.89|3662.53|3700.85||
|044. (Water Supply And Miscellaneous Services Relating To The Dwelling)|2005|111.0|110.82|111.06|105.29|103.16|103.53|102.27|103.21|103.71|103.94|104.07|104.24|
||2006|107.78|110.37|110.57|110.74|110.26|111.37|112.96|113.48|113.47|114.8|115.15|115.29|
||2007|120.25|121.06|121.41|121.89|123.02|123.68|123.98|124.06|125.03|125.29|142.88|143.12|
||2008|147.1|147.4|148.14|149.27|150.75|151.13|151.39|154.62|146.85|148.2|149.05|149.16|
||2009|159.16|159.01|159.2|159.33|159.99|162.91|163.07|167.63|170.58|170.64|170.79|170.91|
||2010|176.52|176.43|178.19|178.19|180.24|183.3|183.44|183.21|183.12|183.37|184.85|187.91|
||2011|192.65|188.78|189.53|190.1|190.91|192.91|192.17|192.14|193.04|194.04|197.02|198.6|
||2012|206.08|206.66|207.2|208.1|209.2|213.91|204.35|204.32|204.26|205.34|207.41|207.98|
||2013|216.98|218.74|219.67|220.62|221.05|222.08|223.1|223.84|223.87|224.82|226.74|227.13|
||2014|228.87|231.45|232.24|233.79|238.27|239.08|243.07|244.81|245.19|248.81|251.87|251.27|
||2015|268.81|271.88|273.34|275.45|278.51|280.02|279.91|280.81|282.02|283.98|285.83|288.43|
||2016|293.32|296.39|296.72|297.71|298.97|301.67|302.37|305.36|305.55|305.77|308.18|309.75|
||2017|323.34|328.55|330.61|332.45|334.84|335.75|337.06|337.77|338.9|340.22|343.81|344.48|
||2018|349.16|351.22|353.77|358.12|362.1|366.33|371.72|375.77|378.01|383.8|386.49|384.72|
||2019|365.41|358.65|358.12|359.51|354.02|346.65|344.48|347.02|348.49|351.11|351.13|350.19|
||2020|371.08|375.11|374.64|368.52|366.55|372.95|382.14|392.4|396.72|397.63|398.9|401.69|
||2021|430.42|432.95|433.88|435.26|436.71|438.31|441.97|445.45|468.55|470.66|474.74|482.14|
||2022|539.39|555.02|572.69|654.16|696.54|720.17|753.99|774.74|828.62|888.01|917.6|1013.2|
||2023|1116.84|1122.07|1144.21|1164.1|1172.02|1184.88|1256.32|1349.65|1409.25|1520.89|1565.01|1621.74|
||2024|1701.12|1720.17|1746.43|1766.51|1762.49|1986.17|2055.54|2109.02|2145.04|2173.51|2189.92|2201.38|
||2025|2648.19|2726.68|2787.41|2833.76|3035.95|3186.89|3242.48|3284.26|3336.32|3415.56|3472.29||
|045. (Electricity, Gas And Other Fuels)|2005|109.32|109.66|111.21|113.35|112.71|112.83|113.99|114.22|116.68|118.85|120.44|120.69|
||2006|121.66|122.53|123.34|123.06|123.37|126.75|128.68|129.91|130.67|132.28|134.47|135.4|
||2007|135.72|135.74|135.9|135.56|135.24|135.25|135.45|136.09|136.99|137.39|142.14|144.27|
||2008|155.11|155.24|155.4|156.4|156.1|158.94|175.23|180.24|184.01|195.91|202.59|199.89|
||2009|198.42|194.13|193.18|188.83|181.05|182.19|182.84|183.47|184.34|191.72|193.88|195.43|
||2010|199.25|200.51|200.25|200.37|200.98|201.54|202.11|202.24|203.0|203.09|204.46|208.16|
||2011|208.41|208.45|209.18|210.19|211.72|211.48|211.2|213.07|214.52|230.36|231.44|232.81|
||2012|236.1|237.97|240.55|255.7|254.64|252.59|251.63|254.14|257.69|274.2|275.46|275.82|
||2013|275.68|275.36|275.1|274.63|273.24|273.24|274.27|274.68|277.17|277.51|277.87|282.04|
||2014|282.76|282.46|282.0|281.57|280.28|279.51|279.85|279.44|280.37|296.71|295.52|295.19|
||2015|294.24|294.58|297.45|297.64|297.72|297.53|297.68|297.74|298.72|301.42|302.43|302.92|
||2016|311.04|310.65|310.11|309.75|309.65|309.58|309.73|309.59|310.16|305.77|309.32|312.35|
||2017|317.1|320.49|320.39|318.93|318.42|318.2|318.03|320.57|322.37|325.93|330.29|332.47|
||2018|346.06|345.9|345.77|351.35|353.57|355.71|357.87|383.95|417.14|447.97|448.24|445.91|
||2019|414.79|415.13|416.25|416.66|418.03|419.07|447.38|463.8|482.99|518.35|519.81|520.47|
||2020|521.29|521.81|522.36|518.26|520.74|522.88|524.87|526.18|528.24|545.31|548.76|550.33|
||2021|568.38|569.33|572.34|575.44|578.68|581.37|644.76|646.97|660.08|683.9|710.05|738.56|
||2022|1003.84|1000.38|1008.15|1102.57|1110.93|1269.72|1272.26|1283.09|1482.95|1488.99|1500.0|1511.9|
||2023|1482.18|1491.81|1495.58|1392.96|892.07|896.76|920.25|970.49|994.9|1080.4|1370.0|1463.12|
||2024|1542.73|1552.73|1570.27|1532.26|1727.97|1736.65|1947.35|2205.54|2231.59|2255.9|2281.32|2297.45|
||2025|2325.18|2436.52|2445.32|2658.13|2690.44|2686.92|2969.45|2987.48|2999.87|3042.76|3061.53||
|05. (Furnishings, Household Equipment, Routine Maintenance Of The House)|2005|111.4|112.24|112.15|112.82|113.48|114.61|114.26|113.93|112.33|114.43|115.4|116.61|
||2006|117.01|115.14|114.65|115.37|115.89|117.46|120.77|123.11|125.11|125.56|124.96|125.13|
||2007|125.25|126.19|128.43|127.91|130.28|130.59|130.89|130.84|129.22|129.54|130.1|130.35|
||2008|131.15|132.28|133.76|134.45|137.28|138.71|140.07|140.07|140.55|141.1|143.03|143.87|
||2009|143.45|142.02|139.97|136.73|136.47|136.39|137.61|137.85|138.11|141.57|140.53|140.02|
||2010|141.02|140.86|140.23|141.15|141.36|141.89|142.77|142.74|143.42|143.25|144.12|144.6|
||2011|146.08|147.42|148.8|151.42|151.82|152.66|153.08|154.35|155.77|158.28|160.1|160.56|
||2012|163.1|164.8|166.3|167.64|166.84|167.66|166.87|168.06|168.47|169.31|169.66|170.02|
||2013|171.86|173.6|173.76|174.53|174.15|174.51|174.76|174.74|176.08|178.86|179.79|180.13|
||2014|182.93|185.36|187.03|189.96|189.66|190.54|190.99|191.58|192.36|192.75|194.41|194.64|
||2015|198.56|199.02|200.15|202.85|204.51|204.32|207.59|208.06|210.48|213.41|214.82|215.96|
||2016|219.9|220.99|222.35|223.91|223.29|224.24|224.63|225.22|225.48|226.82|226.54|229.43|
||2017|233.45|231.88|234.2|236.41|238.24|239.39|240.89|244.89|245.97|253.24|255.64|258.65|
||2018|264.95|268.2|270.3|276.01|278.42|284.66|289.85|303.08|337.67|349.28|339.32|339.77|
||2019|341.98|342.2|343.23|352.31|346.74|348.73|363.5|364.09|366.9|370.44|372.62|373.05|
||2020|367.66|367.37|369.64|373.66|377.94|382.69|391.78|396.51|408.5|418.52|425.61|440.35|
||2021|453.13|454.58|457.03|456.88|460.3|481.01|480.72|487.34|503.56|514.9|532.59|620.66|
||2022|700.24|749.27|773.57|811.62|838.1|871.32|905.43|935.78|955.13|997.0|1027.0|1073.84|
||2023|1133.71|1154.73|1186.24|1204.43|1216.35|1248.05|1359.26|1486.5|1564.03|1604.74|1641.76|1701.63|
||2024|1826.36|1881.27|1942.12|2021.99|2059.75|2093.22|2128.29|2151.64|2194.21|2234.07|2296.82|2360.58|
||2025|2471.41|2513.4|2571.63|2639.44|2671.36|2725.06|2769.53|2791.57|2837.62|2879.75|2904.7||
|051. (Furniture And Furnishings, Carpets And Other Floor Coverings)|2005|125.43|126.75|126.0|127.15|129.23|131.54|132.15|131.56|128.61|133.51|136.05|136.71|
||2006|136.82|128.84|128.19|131.51|130.32|134.2|136.97|140.22|144.6|144.37|140.53|141.18|
||2007|139.25|139.78|140.81|140.93|146.03|146.31|146.21|145.64|138.67|138.5|139.68|139.95|
||2008|143.54|144.13|144.61|145.11|151.26|153.53|153.9|152.98|152.03|151.92|151.61|151.18|
||2009|149.06|149.02|147.07|137.23|136.14|137.58|138.66|139.11|139.44|149.97|150.09|148.48|
||2010|150.37|150.57|150.49|154.4|155.5|156.05|158.89|158.98|158.98|158.0|158.24|157.66|
||2011|157.43|158.43|159.27|164.7|165.58|167.05|168.77|171.19|171.87|176.4|178.57|178.92|
||2012|184.2|184.91|184.26|187.64|187.56|187.8|183.97|186.68|186.97|188.82|190.13|190.37|
||2013|194.07|197.47|197.6|199.71|198.57|199.09|201.2|201.59|202.54|208.14|208.98|208.75|
||2014|212.85|215.2|215.27|222.34|222.16|223.76|222.26|221.04|221.34|222.37|224.21|224.92|
||2015|230.75|230.53|232.43|235.28|237.36|235.79|242.1|242.92|243.4|247.73|250.21|249.68|
||2016|258.56|260.21|262.26|264.71|263.69|265.11|267.9|268.1|267.79|268.75|267.63|269.29|
||2017|273.99|262.26|263.96|266.06|268.31|268.87|270.1|279.26|279.17|296.21|298.02|297.93|
||2018|312.3|318.27|318.91|332.22|332.05|336.4|341.01|363.45|400.0|398.24|367.71|367.01|
||2019|368.01|368.93|370.31|391.89|373.71|373.73|412.72|413.56|414.53|424.96|425.16|425.78|
||2020|398.99|397.86|401.76|415.44|418.25|418.36|437.78|444.38|458.22|478.05|487.37|502.88|
||2021|533.14|535.66|543.0|523.62|532.82|563.0|540.02|543.89|585.35|590.66|621.33|728.21|
||2022|816.96|880.5|911.21|1017.74|1046.95|1114.88|1151.07|1161.6|1159.64|1173.39|1207.31|1268.26|
||2023|1365.84|1406.1|1468.59|1489.12|1501.59|1525.04|1659.67|1755.09|1865.28|1884.97|1920.27|1962.13|
||2024|2164.5|2240.58|2353.26|2507.51|2551.74|2584.38|2543.79|2585.83|2586.18|2687.06|2704.05|2762.73|
||2025|2965.46|2990.68|3064.59|3198.05|3220.95|3222.78|3262.52|3244.05|3263.06|3319.98|3351.93||
|052. (Household Textiles)|2005|111.0|110.55|109.84|110.26|110.09|109.53|109.07|109.02|108.77|110.31|110.29|109.96|
||2006|110.0|110.27|108.64|106.53|106.65|108.09|111.14|112.36|113.37|114.21|114.42|114.61|
||2007|113.99|113.61|114.38|114.69|115.24|115.45|114.81|114.63|115.64|116.0|116.67|116.92|
||2008|115.48|115.17|115.31|115.33|116.52|116.98|117.6|118.22|118.73|119.68|123.07|125.1|
||2009|123.6|123.2|123.79|125.4|125.27|125.64|126.41|126.24|126.09|127.76|127.72|127.52|
||2010|127.56|127.68|127.45|130.75|131.49|132.72|133.85|134.06|134.56|137.05|139.95|142.28|
||2011|146.16|147.97|149.74|155.87|157.33|158.33|158.2|158.12|158.42|161.89|162.94|163.44|
||2012|164.47|164.38|163.89|164.38|164.36|165.39|164.49|164.54|164.69|165.17|165.29|165.45|
||2013|166.16|166.08|166.29|167.15|167.63|167.9|167.88|168.04|169.87|174.04|174.7|175.7|
||2014|177.01|179.62|181.2|186.04|186.74|187.64|188.02|188.26|188.79|185.75|185.74|185.26|
||2015|188.47|188.76|190.61|194.73|195.72|196.71|199.01|199.78|201.04|204.81|206.76|207.5|
||2016|209.54|209.59|209.61|211.78|212.39|213.27|213.14|212.97|213.26|214.43|216.21|220.24|
||2017|226.05|230.79|232.59|234.77|236.49|238.0|240.38|243.01|244.66|246.85|248.33|249.64|
||2018|253.17|255.31|256.66|259.84|262.53|270.73|278.34|292.05|336.9|352.05|353.28|352.02|
||2019|351.56|351.54|350.36|359.1|356.17|357.66|359.99|360.64|361.12|357.13|359.26|358.81|
||2020|360.59|362.04|362.86|364.96|368.78|376.75|377.73|380.36|384.85|391.6|403.02|409.07|
||2021|416.86|418.69|422.75|432.28|436.03|448.37|456.5|460.11|465.96|476.42|503.04|593.38|
||2022|645.43|677.98|710.06|744.56|772.59|811.54|837.82|865.81|887.8|930.39|941.47|966.45|
||2023|992.76|990.25|1001.16|1019.78|1038.31|1073.52|1196.0|1282.56|1306.94|1340.68|1367.85|1398.81|
||2024|1494.59|1561.3|1615.55|1653.19|1688.3|1702.35|1719.97|1736.76|1762.32|1807.87|1820.26|1834.93|
||2025|1877.34|1937.04|2013.33|2051.69|2100.12|2111.84|2145.35|2173.84|2197.83|2232.68|2219.33||
|053. (Household Appliances)|2005|93.91|95.41|95.84|96.87|96.62|98.03|95.94|98.19|96.58|99.08|98.88|99.82|
||2006|98.78|98.85|97.96|97.98|101.2|100.48|103.35|103.92|103.0|103.01|104.13|103.22|
||2007|104.29|105.72|109.15|106.05|109.19|109.26|109.35|109.61|110.26|110.87|111.34|111.36|
||2008|111.05|112.49|113.35|112.81|114.29|115.91|118.31|117.34|118.72|119.66|124.13|125.68|
||2009|125.8|121.73|116.52|114.05|114.62|113.9|117.73|119.1|119.52|120.6|117.03|117.3|
||2010|118.54|119.37|118.76|118.69|118.04|119.01|119.05|119.06|120.73|119.39|119.78|120.17|
||2011|123.42|125.68|127.31|127.58|126.41|126.31|124.6|125.25|127.26|128.01|128.63|128.66|
||2012|130.17|132.38|134.24|133.78|130.67|131.17|131.53|131.61|130.75|130.71|130.75|130.82|
||2013|132.67|134.11|134.24|134.51|132.6|132.54|131.41|131.19|133.29|135.03|135.5|135.36|
||2014|138.58|140.92|143.05|143.37|141.3|141.4|142.93|144.29|145.0|145.08|146.84|146.61|
||2015|151.22|151.79|151.39|154.13|155.66|154.77|157.69|158.04|163.56|166.45|166.84|168.33|
||2016|170.7|171.46|173.09|174.38|172.64|172.69|170.07|170.89|170.81|172.63|171.41|175.53|
||2017|177.66|177.61|179.51|180.49|180.13|181.28|182.77|184.58|186.13|190.91|194.32|201.71|
||2018|204.24|205.52|207.79|209.94|213.83|222.45|225.29|233.96|270.94|286.22|275.88|275.16|
||2019|277.64|277.79|279.21|285.32|283.25|285.29|292.72|293.9|298.83|299.82|304.78|304.29|
||2020|307.95|307.53|308.38|306.38|313.73|321.54|329.79|334.24|353.49|359.42|362.47|384.09|
||2021|390.48|390.97|389.49|390.84|388.89|412.96|420.77|426.86|435.8|454.07|462.3|569.27|
||2022|661.22|714.78|728.01|753.95|763.88|779.36|816.01|856.04|876.93|935.13|970.5|1036.82|
||2023|1108.0|1119.87|1137.84|1167.28|1181.3|1221.49|1316.95|1440.57|1545.02|1573.78|1573.05|1670.81|
||2024|1789.24|1845.4|1893.78|1948.31|1973.1|1997.67|2040.19|2045.73|2128.33|2157.46|2246.6|2370.02|
||2025|2448.43|2480.63|2543.08|2565.15|2610.55|2687.2|2721.89|2760.65|2838.39|2873.0|2893.98||
|054. (Glassware, Tableware And Household Utensils)|2005|117.43|118.03|117.94|117.63|117.59|117.47|117.34|117.38|117.26|117.34|117.42|117.46|
||2006|117.72|118.1|118.64|118.64|119.42|122.52|125.51|127.24|128.33|129.84|131.05|132.11|
||2007|132.76|133.41|133.94|134.57|135.31|136.02|136.5|137.13|137.69|138.15|138.78|139.25|
||2008|139.81|140.73|141.24|142.29|143.67|144.74|145.51|146.16|146.73|147.87|149.24|150.04|
||2009|150.6|150.98|151.5|152.25|152.63|153.18|153.3|154.02|154.5|155.45|156.31|156.88|
||2010|157.12|157.74|158.35|158.6|158.88|159.55|160.55|161.06|161.61|162.31|162.8|163.1|
||2011|163.45|163.82|164.71|164.98|165.15|165.44|165.63|165.8|166.94|168.72|170.04|171.12|
||2012|172.5|173.0|173.83|174.31|174.81|175.66|176.07|176.25|177.1|178.04|178.56|179.29|
||2013|179.48|180.65|181.6|182.61|182.92|183.94|184.53|185.33|186.13|187.69|189.46|190.72|
||2014|191.74|194.08|196.37|198.45|200.56|202.1|203.77|205.42|206.88|208.94|210.35|211.69|
||2015|212.23|213.83|216.13|218.88|221.6|224.18|225.47|227.74|230.91|233.25|234.86|236.32|
||2016|237.02|237.82|239.93|242.08|243.38|245.57|247.38|248.46|249.59|251.26|252.57|255.42|
||2017|259.68|265.34|269.18|273.81|276.89|278.52|280.42|282.89|284.35|287.48|290.53|292.66|
||2018|296.17|301.27|306.75|310.68|314.64|321.35|327.51|336.96|367.82|388.64|396.15|400.84|
||2019|403.61|404.66|405.65|402.95|406.97|408.88|411.77|410.82|414.89|417.55|417.96|417.96|
||2020|421.71|422.13|427.62|426.09|427.33|437.11|440.94|445.5|452.75|460.28|468.01|472.34|
||2021|477.94|485.43|489.05|500.05|504.71|517.15|529.93|536.72|545.59|553.67|570.12|639.87|
||2022|696.19|740.7|775.05|816.59|834.08|860.82|877.85|910.8|932.35|968.8|976.04|999.72|
||2023|1023.55|1044.21|1056.12|1085.28|1079.16|1097.15|1168.86|1255.29|1291.38|1323.29|1331.51|1383.28|
||2024|1449.16|1504.25|1548.22|1600.85|1622.57|1659.51|1685.84|1725.71|1728.69|1758.99|1786.83|1803.89|
||2025|1862.95|1889.96|1925.0|1971.98|1977.12|2008.04|2048.61|2060.84|2076.89|2099.57|2089.76||
|055. (Tools And Equipment For House And Garden)|2005|116.05|116.99|117.69|118.41|118.82|118.84|118.59|118.82|119.0|119.28|119.36|119.49|
||2006|119.56|119.87|119.78|119.84|121.2|124.16|127.39|129.46|131.09|133.01|134.42|135.3|
||2007|135.53|135.89|136.31|136.65|136.85|137.55|137.78|138.35|138.9|139.16|140.08|140.04|
||2008|140.36|140.82|141.42|143.44|145.56|147.86|150.23|152.13|154.42|158.01|161.55|163.22|
||2009|164.73|164.75|165.25|165.99|166.45|166.36|166.69|167.32|167.65|167.82|167.59|167.8|
||2010|167.98|168.15|168.34|168.14|168.62|169.63|170.55|170.77|171.87|173.29|174.13|174.31|
||2011|173.87|174.68|175.54|177.19|178.04|178.55|179.23|180.14|181.97|185.74|188.34|190.35|
||2012|192.53|194.31|196.52|198.04|198.91|199.63|199.97|199.97|200.77|202.38|203.93|204.07|
||2013|203.4|204.46|205.1|206.07|206.8|207.0|208.36|207.81|210.1|211.24|212.06|213.18|
||2014|213.74|217.01|218.8|219.97|221.33|221.93|223.73|224.18|225.9|227.52|229.04|230.52|
||2015|230.93|232.02|233.49|233.24|236.44|238.15|239.26|240.56|242.94|245.44|248.31|251.59|
||2016|252.18|254.25|253.31|255.81|257.61|258.76|259.75|260.6|260.63|259.43|264.32|266.82|
||2017|271.61|276.14|275.86|280.05|276.91|279.99|282.86|280.53|285.41|291.55|297.54|300.79|
||2018|302.8|304.02|307.49|310.05|314.5|317.33|321.83|331.81|364.35|393.27|405.73|406.23|
||2019|403.5|409.34|408.0|413.48|414.04|416.93|418.3|420.84|422.12|426.95|424.12|426.77|
||2020|425.93|419.55|424.28|426.92|429.41|433.85|439.08|442.44|450.18|458.71|469.23|474.01|
||2021|482.11|477.12|471.9|505.88|503.98|504.39|527.98|523.22|533.51|560.53|592.67|656.9|
||2022|702.59|736.81|764.56|796.1|823.91|836.33|850.12|870.8|911.78|956.22|970.44|988.02|
||2023|1012.42|1028.39|1045.22|1057.99|1073.45|1081.95|1180.03|1281.24|1303.12|1368.69|1413.71|1466.09|
||2024|1550.19|1609.16|1632.56|1662.46|1717.4|1745.6|1827.3|1890.53|1925.14|1936.42|2023.35|2060.76|
||2025|2074.49|2119.44|2213.14|2252.88|2293.6|2373.18|2375.22|2363.87|2433.21|2421.16|2490.76||
|056. (Goods And Services For Routine Household Maintenance)|2005|106.65|106.96|107.2|107.45|107.94|108.63|108.68|106.52|105.32|105.36|106.32|108.93|
||2006|111.04|111.8|112.0|112.14|111.99|112.78|117.02|120.55|123.38|124.28|124.38|124.71|
||2007|126.12|127.59|130.89|131.77|131.7|132.18|133.46|133.45|133.19|133.64|133.51|133.92|
||2008|134.02|136.12|140.46|143.0|144.69|145.26|146.78|148.41|149.14|149.23|149.67|150.33|
||2009|151.33|150.83|150.92|151.05|150.37|148.9|147.18|145.57|145.66|145.32|145.37|144.61|
||2010|144.92|142.74|140.92|139.0|139.02|138.49|138.11|137.6|137.73|138.42|139.76|140.73|
||2011|141.22|141.78|143.31|144.93|146.34|147.72|149.6|151.18|152.97|154.96|158.13|158.87|
||2012|160.58|163.4|167.19|169.06|169.66|171.27|171.78|173.47|175.4|176.27|175.97|176.74|
||2013|177.51|178.53|178.47|178.31|180.06|180.63|180.55|180.12|180.69|181.61|182.97|183.94|
||2014|185.62|187.88|190.38|191.54|192.39|193.26|193.93|195.32|196.46|197.17|199.02|199.11|
||2015|200.83|201.56|203.23|205.09|205.99|207.07|207.96|207.4|207.52|208.37|209.37|211.73|
||2016|213.47|214.62|215.06|215.22|215.59|216.87|218.53|219.3|220.56|221.64|222.07|223.85|
||2017|228.56|232.84|236.34|239.43|244.07|245.38|246.44|248.16|249.21|249.92|251.01|251.79|
||2018|255.2|257.69|260.23|262.89|265.23|268.88|276.54|284.67|306.21|321.68|327.36|330.32|
||2019|334.74|333.38|334.27|334.62|336.18|340.51|342.97|342.46|344.64|345.69|346.9|348.68|
||2020|351.01|351.74|353.02|356.02|358.51|361.33|363.04|366.27|368.96|373.88|381.12|390.75|
||2021|397.92|398.23|400.93|407.98|412.74|423.46|425.45|435.89|441.8|447.69|460.33|499.61|
||2022|560.77|590.99|614.91|600.8|644.33|665.56|698.22|730.74|761.8|803.42|831.8|849.05|
||2023|881.6|902.68|934.47|932.9|942.86|969.52|1071.36|1224.44|1265.66|1328.56|1411.23|1440.96|
||2024|1525.17|1550.67|1588.85|1655.03|1699.71|1742.19|1817.31|1836.94|1872.7|1879.32|1953.88|1972.02|
||2025|2077.61|2135.06|2165.37|2243.23|2263.57|2335.79|2394.91|2427.48|2462.13|2507.56|2545.87||
|06. (Health)|2005|112.84|112.38|113.38|114.17|114.27|114.39|112.81|111.16|111.36|111.53|111.65|111.75|
||2006|112.47|113.22|113.64|113.96|116.81|117.29|116.2|118.11|120.14|120.39|120.59|120.61|
||2007|121.41|121.96|122.29|122.63|122.73|122.81|122.93|123.09|123.19|123.28|122.45|121.63|
||2008|121.84|121.93|122.03|122.1|122.17|122.31|122.43|124.31|124.35|124.4|124.47|124.08|
||2009|124.26|124.39|124.41|127.15|127.37|127.37|127.44|127.48|127.57|127.65|127.67|127.11|
||2010|126.97|126.71|126.76|127.94|127.91|127.92|128.25|127.39|127.6|127.78|127.79|127.84|
||2011|128.2|128.34|128.53|128.67|128.81|128.86|127.93|128.01|128.05|128.09|128.38|128.27|
||2012|128.39|129.24|129.64|130.32|130.45|130.62|130.65|130.32|130.39|130.44|130.38|130.43|
||2013|131.08|131.64|132.27|132.7|132.88|133.07|133.67|134.18|134.39|134.66|135.69|136.75|
||2014|139.3|140.36|141.56|142.87|144.27|145.69|146.13|146.37|146.98|148.01|148.35|148.54|
||2015|150.76|151.99|153.49|153.94|154.31|155.13|155.62|156.2|157.89|158.54|158.96|159.18|
||2016|163.03|165.97|167.97|168.68|169.1|170.35|172.09|172.75|173.12|173.43|173.52|174.67|
||2017|182.81|186.77|190.28|191.14|191.58|191.91|192.55|192.89|193.72|194.61|195.01|195.46|
||2018|200.19|205.33|209.23|210.19|210.91|212.69|215.24|217.13|222.13|225.41|226.7|228.1|
||2019|236.21|242.06|250.48|251.7|251.77|253.21|253.84|255.07|256.37|257.5|258.1|259.18|
||2020|269.45|274.93|282.56|284.06|284.68|287.51|289.81|292.52|295.06|297.67|300.04|302.38|
||2021|315.24|324.71|336.72|338.61|339.62|342.32|343.74|344.82|346.61|348.85|351.91|364.42|
||2022|405.48|431.4|454.39|460.35|467.78|476.98|510.26|546.03|557.49|567.45|573.25|607.14|
||2023|718.58|733.72|748.28|767.02|780.86|790.29|897.81|969.45|1002.32|1028.8|1044.07|1090.39|
||2024|1283.18|1329.88|1348.8|1362.75|1387.35|1410.77|1463.58|1488.04|1510.48|1553.97|1595.74|1609.74|
||2025|1989.18|1901.96|1915.43|1935.01|1944.02|1956.76|2012.26|2032.55|2042.39|2052.14|2065.89||
|061. (Medical Products, Appliances And Equipment)|2005|96.15|95.56|96.21|96.2|96.16|96.03|92.25|88.41|88.38|88.37|88.33|88.46|
||2006|88.35|88.47|88.38|88.44|88.47|88.52|84.94|88.19|91.48|91.51|91.61|91.61|
||2007|91.59|91.57|91.6|91.58|91.58|91.58|91.57|91.59|91.57|91.61|89.75|87.71|
||2008|87.7|87.68|87.72|87.76|87.86|88.06|88.26|91.84|91.84|91.88|91.96|92.04|
||2009|92.12|92.16|92.16|97.41|97.82|97.82|97.9|97.87|97.9|97.92|97.95|96.79|
||2010|96.11|95.44|95.47|95.61|95.55|95.56|96.13|94.31|94.66|94.94|94.91|94.94|
||2011|94.84|94.85|95.01|95.18|95.38|95.37|93.42|93.4|93.45|93.48|93.7|93.55|
||2012|93.12|94.43|95.03|96.19|96.31|96.33|96.34|95.54|95.57|95.6|95.39|95.39|
||2013|95.5|95.46|95.44|95.4|95.4|95.25|96.04|96.6|96.82|97.18|97.23|97.28|
||2014|97.44|97.8|97.8|98.27|99.74|102.06|102.35|102.5|102.64|102.75|102.67|102.68|
||2015|102.92|103.86|104.84|105.05|105.04|106.24|106.38|106.82|109.46|109.56|109.62|109.56|
||2016|109.97|113.23|116.73|117.47|117.74|120.0|123.22|123.32|123.5|123.55|123.47|125.16|
||2017|126.41|131.96|137.22|137.99|138.38|138.32|138.33|138.55|139.03|139.06|139.17|138.75|
||2018|139.4|146.24|153.76|154.39|154.78|157.0|157.72|159.03|162.61|165.08|166.54|168.07|
||2019|169.03|178.98|196.59|196.62|197.0|197.33|197.62|198.46|198.53|198.99|199.4|199.68|
||2020|199.96|205.64|216.81|218.67|218.68|219.15|220.07|220.76|221.61|222.61|224.57|226.78|
||2021|228.49|240.17|261.13|262.23|262.64|263.55|263.45|263.61|263.99|265.54|267.09|277.49|
||2022|289.83|327.84|368.03|368.87|371.71|375.0|428.01|483.03|487.11|490.93|493.35|561.55|
||2023|643.34|650.74|678.54|706.48|711.5|714.52|808.55|902.87|917.52|929.18|935.4|1034.07|
||2024|1154.69|1181.98|1197.25|1210.33|1215.58|1224.55|1237.14|1246.7|1255.28|1350.23|1446.2|1464.31|
||2025|1514.86|1517.46|1537.31|1557.23|1567.14|1577.87|1595.73|1607.82|1611.19|1621.77|1643.24||
|062. (Outpatient Services)|2005|129.26|126.52|125.98|128.11|128.43|128.91|130.0|130.9|131.34|131.62|131.9|131.98|
||2006|133.48|134.69|135.53|135.98|141.77|142.56|143.68|144.5|145.54|146.02|146.38|146.51|
||2007|148.06|149.24|149.71|150.4|150.61|150.77|151.05|151.38|151.61|151.77|151.87|152.1|
||2008|152.51|152.69|152.81|152.87|152.91|152.96|153.05|153.09|153.18|153.25|153.35|153.37|
||2009|153.67|153.86|153.92|154.01|154.0|153.98|154.03|154.17|154.32|154.42|154.44|154.52|
||2010|154.96|155.15|155.23|154.84|154.82|154.82|154.89|155.11|155.14|155.22|155.27|155.3|
||2011|156.11|156.36|156.52|156.65|156.74|156.83|156.93|157.12|157.14|157.19|157.55|157.48|
||2012|158.13|158.54|158.71|158.89|159.05|159.35|159.41|159.52|159.66|159.72|159.83|159.89|
||2013|161.36|162.52|163.88|164.95|165.28|165.74|166.17|166.68|166.8|166.88|167.77|168.49|
||2014|171.88|173.34|175.6|176.37|177.33|177.94|178.18|178.44|179.35|180.27|180.66|180.95|
||2015|184.35|185.39|186.61|187.38|187.91|188.42|189.27|189.8|190.57|191.41|191.68|192.21|
||2016|198.74|201.02|201.85|202.53|202.89|203.26|203.76|204.69|204.74|205.14|205.32|205.88|
||2017|220.23|223.09|224.79|225.8|226.4|226.83|228.2|228.6|229.1|230.43|231.23|232.32|
||2018|239.13|241.9|242.92|243.9|244.91|246.23|248.3|250.95|256.78|260.17|261.14|261.89|
